Row,place_id,Name,District
749,JFJXNDZC,友愛體育館,屯門
750,5H8GDV94,源禾路體育館,沙田
751,JTXTRW2C,駱克道體育館,灣仔
752,W9Q4X729,太和體育館,大埔
753,86J8C3N4,龍琛路體育館,北區
754,DAD694B9,荔枝角公園體育館,深水埗
755,BC3S4N6N,鰂魚涌體育館,東區
756,HURRYF6P,花園街體育館,油尖旺
757,K4VXG5JL,富善體育館,大埔
758,STCS5CR4,紅磡市政大廈體育館,九龍城
759,Y7VEPAAV,北河街體育館,深水埗
760,UTLJGMDH,彩虹道體育館,黃大仙
761,86TDXZ2L,黃泥涌體育館,灣仔
762,7YM28YJS,鳳琴街體育館,元朗
763,6JFECUXQ,林士德體育館,葵青
764,ARFA5BPF,美林體育館,沙田
765,B5YGMKTS,佛光街體育館,九龍城
766,7FZDXHWA,良田體育館,屯門
767,BDY2DQYP,大埔體育館,大埔
768,VWUS9GQY,九龍城體育館,九龍城
769,G9A54GU7,竹園體育館,黃大仙
770,TUWNQEDP,天平體育館,北區
771,D7DSMJ2U,荃灣西約體育館,荃灣
772,X5S4QREN,和興體育館,北區
773,XX7NQXH6,馬鞍山體育館,沙田
774,7N6PJPRL,坪洲體育館,離島
775,ZUBHNDX3,楊屋道體育館,荃灣
776,FBPJK87M,牛池灣體育館,黃大仙
777,XFMTB4VC,摩士公園體育館,黃大仙
778,EL6RRNV7,界限街一號體育館,油尖旺
779,TGU47EPT,界限街二號體育館,油尖旺
780,G4UDRVVB,石硤尾公園體育館,深水埗
781,T3KQWBSR,東啟德體育館,黃大仙
782,DK24ZRZX,大角咀體育館,油尖旺
783,FXBCT23E,鯉魚門體育館,觀塘
784,FQC3YS75,官涌體育館,油尖旺
785,Q8PMKR68,順利邨體育館,觀塘
786,EGHSKYMN,牛頭角道體育館,觀塘
787,UX9ZW4TT,賽馬會屯門蝴蝶灣體育館,屯門
788,K8ZKEZ79,將軍澳體育館,西貢
789,CY8JZPE2,九龍灣體育館,觀塘
790,BU93FY4S,楓樹窩體育館,葵青
791,3E8MXQKV,振華道體育館,觀塘
792,U53ZZHT3,北區運動場,北區
793,J6WVJ649,斧山道運動場,黃大仙
794,HU48DPXB,九龍灣運動場,觀塘
795,JPY4BYUF,和宜合道運動場,葵青
796,7KLDZ9W2,葵涌運動場,葵青
797,3UE63ST3,沙田運動場,沙田
798,8GCUZY9H,馬鞍山運動場,沙田
799,HXQ2WUCT,將軍澳運動場,西貢
800,64QZNQLX,元朗大球場,元朗
801,Y8ZRSKYZ,天水圍運動場,元朗
802,2W8Q6ASS,長洲運動場,離島
803,TR24E7UZ,巴富街運動場,九龍城
804,9J4Q6KYR,灣仔運動場,灣仔
805,PANQJHNU,九龍仔運動場,九龍城
806,X9Z64EZY,青衣運動場,葵青
807,2C49JQ5L,西貢鄧肇堅運動場,西貢
808,N8EFZSXE,屯門鄧肇堅運動場,屯門
809,9UUP55QH,兆麟運動場,屯門
810,ELDKRFQX,城門谷運動場,荃灣
811,SKHK8NWS,大埔運動場,大埔
812,V28VJZHQ,香港仔運動場,南區
813,MTVEFY7R,小西灣運動場,東區
814,C9JPAL2B,深水?運動場,深水?
815,38XPMV5C,粉嶺遊樂場,北區
816,ZNVAVNSK,銅鑼灣運動場,灣仔
817,KGAKHVKE,摩理臣山游泳池,灣仔
818,TWTFL4VW,天秀路游泳池,元朗
819,5XU7MMET,東昌街游泳池,大埔
820,63ZCRUHB,維多利亞公園游泳池,灣仔
821,QSKVH9ZE,東涌游泳池,離島
822,6PB2V667,屯門西北游泳池,屯門
823,44GMYC7B,青衣西南游泳池,葵青
824,JMMXMMYR,小西灣游泳池,東區
825,CLC54JJW,藍田游泳池,觀塘
826,MHZDP3AR,觀塘游泳池,觀塘
827,M3M28SXU,將軍澳游泳池,西貢
828,ZJGX9WF4,西貢游泳池,西貢
829,S7HSZHLW,沙田賽馬會游泳池,沙田
830,DQ8DQHFZ,馬鞍山游泳池,沙田
831,FR85DVEW,顯田游泳池,沙田
832,G8C2YMA4,大埔游泳池,大埔
833,GRT5AURS,上水游泳池,北區
834,WWGAB4CS,粉嶺游泳池,北區
835,TMRGZM3U,青衣游泳池,葵青
836,HCVN57XE,北葵涌賽馬會游泳池,葵青
837,8KP6HEK3,葵盛游泳池,葵青
838,PKN38STK,荃景圍胡忠游泳池,荃灣
839,NULBRSEF,城門谷游泳池,荃灣
840,8XJTW93P,屏山天水圍游泳池,元朗
841,N4WDTSCT,元朗游泳池,元朗
842,NKH9U3BC,天水圍游泳池,元朗
843,S5AR3RMF,賽馬會仁愛堂游泳池,屯門
844,4WDHNYCE,梅窩游泳池,離島
845,JZEAT44X,佐敦谷游泳池,觀塘
846,ZA3PQNUP,斧山道游泳池,黃大仙
847,NB4UARPS,摩士公園游泳池,黃大仙
848,Z6KGM47K,九龍仔游泳池,九龍城
849,ECL6X26C,何文田游泳池,九龍城
850,E6ZVWJM3,大環山游泳池,九龍城
851,NXTWCCX8,大角咀游泳池,油尖旺
852,NYY2EQBD,九龍公園游泳池,油尖旺
853,4LUV49WD,深水埗公園游泳池,深水埗
854,8Y7VCG26,李鄭屋游泳池,深水埗
855,G688XEKS,荔枝角公園游泳池,深水埗
856,35S2AZBL,港島東游泳池,東區
857,J7AY5ZHA,柴灣游泳池,東區
858,S7UM96BY,灣仔游泳池,灣仔
859,WW2ZL9NF,中山紀念公園游泳池,中西區
860,7WSPK7UL,堅尼地城游泳池,中西區
861,JWQBFUVY,包玉剛游泳池,南區
862,H8U8RFC8,聖士提反灣水上活動中心,南區
863,ZJEEWU2L,赤柱正灘水上活動中心,南區
864,ZHZ2FU3N,創興水上活動中心,西貢
865,ZRN6A9E4,賽馬會黃石水上活動中心,西貢
866,TLZRKBL5,大美督水上活動中心,大埔
867,MX8BNQ2G,寶石戲院,九龍城區
868,8HC9ZK74,葵芳百老匯戲院,葵青區
869,2EFGUQJZ,mcl 淘大戲院,觀塘區
870,T2QRETHS,新光黃埔,九龍城區
871,3DRK2XQ9,香港杜莎夫人蠟像館,中西區
